Capicity [Ah],Open circuit voltage [V]
0.0684890883847578,4.17339102538181
0.386091902894037,4.09953226306496
1.21653389407848,4.05825926375241
2.67560354239961,4.00148166120749
3.68170973351126,3.96706053621254
4.91410894091957,3.92746977233208
5.84483804440131,3.89305511747341
6.72510008492054,3.86551174734118
7.63064957472334,3.83281599202017
8.81274347257606,3.79494628438945
9.91924461158963,3.76395001819726
10.7744348740345,3.73469206195155
12.0320676129241,3.69166565570787
13.1638022834189,3.65723374715247
14.9492363891248,3.60901182147816
15.6280076024101,3.59693639047272
16.8599754674,3.57107956919676
18.0667637187108,3.54694164745845
18.9467561702185,3.52798199145403
19.952484936714,3.50557806623802
21.0086268483697,3.47801959912114
21.7129550999501,3.45220806879912
22.8202110881961,3.39717740304905
23.5000606575276,3.35076711553237
23.8789949721649,3.28549853747961
24.1078760429725,3.1979252429671
24.1602302290159,3.13096795934598
24.2628358068125,3.06400636230067
24.3154056640651,2.9901821073773
24.3424724008249,2.92837720894496
24.344575195115,2.86142423874803
24.3717497674795,2.79618585466456
